Ligne;Direction;Description;Séquence;Arrêt;Description;Distance Inter-Arrêts
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;1.0;MLAR_1/2;MAZERES-LEZONS L'Arriou;0.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;4.0;LAGUTS_1;Les Agûts;646.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;5.0;BARTHO_1;Barthou;139.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;9.0;LIBERT_1;Liberté;499.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;12.0;CONCOR_N;Concorde;233.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;14.0;BARTHE_E;Barthe;339.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;16.0;MONNAI_S;Pl. de la Monnaie;453.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;17.0;PGDPQA_A;PAU Gare de Pau Quai A;480.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;19.0;F-BABE_1;Barthou - Beaumont;364.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;23.0;VERDQB_B;Pl. Verdun Quai B;247.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;25.0;PLAWRE_2;Parc Lawrance;302.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;26.0;SJOSEP_E;St Joseph;323.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;27.0;MOHED_2;Mohédan;419.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;32.0;ANGOT_S;Angot;201.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;38.0;BOILEA_2;Boileau;221.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;4.0;GCHEN_O;Grands Chênes;213.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;5.0;BOILEA_1;Boileau;218.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;6.0;GAVARN_1;Gavarnie;192.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;2.0;DGAULL_1;Gal De Gaulle;403.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;8.0;COUETT_1;Couettes;218.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;3.0;LCOLLI_1;Les Collines;429.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;9.0;CDBOQG_G;Catherine de Bourbon Quai G;252.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;6.0;MLEZON_N;Lezons;403.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;14.0;BIDASS_O;Bidassoa;455.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;7.0;CCMAZE_N;Grand Sud;300.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;15.0;SDOMIN_1;St Dominique;233.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;18.0;BONAPA_1;Bonaparte;406.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;21.0;VERDQA_A;Pl. Verdun Quai A;317.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;21.0;LHMEDI_N;Les Halles Médiathèque;323.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;23.0;GUICHE_1;Guichenné;349.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;24.0;PHOEBU_2;Gaston Phoebus;262.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;29.0;ROUSSI_O;Roussille;353.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;29.0;BIDASS_E;Bidassoa;300.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;41.0;LCOLLI_2;Les Collines;496.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;30.0;PCIEL_2;Plein Ciel;446.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;1.0;BLAURE_O;BIZANOS Laurets;0.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;33.0;CITEAU_S;Cîteaux;351.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;2.0;SPOLYV_1;Salle Polyvalente;652.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;34.0;CDBOQH_H;Catherine de Bourbon Quai H;353.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;3.0;VHUGO_O;Victor Hugo;278.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;37.0;GAVARN_2;Gavarnie;252.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;6.0;MDBIZA_1;Mairie de Bizanos;205.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;39.0;GCHEN_E;Grands Chênes;242.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;8.0;CONSER_1;Conservatoire;712.0
5;1.0;MAZERES-LEZONS L'Arriou > PAU Zénith;40.0;SAUMUR_2;Saumur;173.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;9.0;NAVARR_1;Navarre;221.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;2.0;JALAI_1;Jaï Alaï;471.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;12.0;BOSQQC_C;PAU Bosquet Quai C;389.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;3.0;SAUMUR_1;Saumur;223.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;13.0;F-HDES_2;Les Halles - Despourrins;304.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;7.0;LAPERR_1;Laperrine;254.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;14.0;F-AALO_2;Alliés - Alsace Lorraine;442.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;10.0;CITEAU_N;Cîteaux;324.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;15.0;ABREMO_2;Abbé Brémond;436.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;17.0;MONTAR_1;Montardon;373.0
6;1.0;BIZANOS Laurets > SERRES-CASTET Liben;16.0;REDANU_2;Rhin et Danube;312.0
5;2.0;PAU Zénith > MAZERES-LEZONS L'Arriou;24.0;BOSQQH_H;PAU Bosquet Quai H;313.0
